id   score 
0       0
1       1
2       1
3       0
4       1
5       0
6       1
7       1
8       0
9       1
10      0
11      0
12      0
13      0
14      0
15      0
16      1
17      1
18      1
19      0
20      1
21      0
22      1
23      0
24      0
25      0
26      1
27      1
28      1
29      1
30      0
31      1
32      1
33      0
34      0
35      1
36      1
37      0
38      0
39      0
40      1
41      1
42      0
43      1
44      1
45      1
46      0
47      1
48      1
49      1
50      0
51      1
52      1
53      0
54      1
55      1
56      0
57      1
58      0
59      0
60      0
61      0
62      0
63      1
64      1
65      1
66      0
67      0
68      1
69      0
70      0
71      1
72      1
73      1
74      0
75      0
76      1   (didn't show choice)
77      0
78      0
79      1
80      0
81      0
82      1
83      1
84      0
85      1
86      1
87      1
88      1
89      0
90      0
91      1
92      0
93      1
94      0
95      1
96      1
97      0
98      1
99      1


score 53 (or 52 excluding the one not reporting choice)
